ie,davis_class_any,davis_class_code,mean_ie_lu_price,med_ie_lu_price,sd_ie_lu_price,count_ie_lu_price
375,grain,7,438500.31,438500.31,615342.69,2
375,other,10,11144.708,11144.708,,1
376,fallow,5,11349.879,11349.879,,1
376,grain,7,9891.6582,9891.6582,9233.1934,2
376,rice,12,52039.684,52039.684,,1
379,developed,4,37064.434,37064.434,,1
379,fallow,5,13158.331,13158.331,4832.9961,2
381,developed,4,148975.25,148975.25,,1
381,pasture,11,25201.523,16530.584,30395.947,3
382,developed,4,156054.13,156054.13,,1
382,pasture,11,49326.102,32376.203,36675.387,4
388,developed,4,47304.973,47304.973,,1
396,pasture,11,370974.22,370974.22,,1
397,pasture,11,35577.215,283.18811,61255.383,3
398,pasture,11,30803.461,30803.461,4900.2734,2
399,pasture,11,19786.4,19786.4,14117.05,2
400,pasture,11,5824.8096,5853.4897,5011.8809,4
401,alfalfa,1,7320.8984,7320.8984,,1
401,pasture,11,8023.5615,8987.127,3777.0696,5
402,alfalfa,1,19541.432,16805.676,10594.038,5
402,grain,7,13250.859,13250.859,,1
402,orchard,9,18658.271,18658.271,,1
402,pasture,11,15497.482,11963.406,12682.73,4
402,tomato,13,31703.74,31703.74,,1
403,alfalfa,1,12993.706,12993.706,,1
403,fallow,5,22886.318,19768.363,14735.057,4
403,grain,7,19293.074,19293.074,12884.789,2
403,orchard,9,3641.8662,3641.8662,,1
403,rice,12,7915.6816,7915.6816,5630.6396,2
404,alfalfa,1,13681.514,13681.514,,1
404,fallow,5,13881.078,13881.078,3707.9954,2
404,grain,7,17367.715,17367.715,4799.1938,2
404,orchard,9,24230.887,16941.23,15243.749,3
404,tomato,13,15919.553,15919.553,6080.6455,2
405,alfalfa,1,234625.78,234625.78,,1
405,fallow,5,36851.684,16435.215,37611.945,3
405,grain,7,13664.27,12415.295,10447.854,6
405,orchard,9,21513.201,21513.201,,1
405,tomato,13,15137.833,15137.833,,1
406,alfalfa,1,430.48349,430.48349,,1
406,grain,7,7378.8003,8336.0215,4700.5581,4
406,orchard,9,21513.201,21513.201,,1
406,tomato,13,13832.353,13832.353,,1
407,fallow,5,2418.9558,2418.9558,543.52075,2
407,grain,7,6322.2451,6322.2451,7223.3843,2
407,tomato,13,28615.383,28615.383,,1
408,alfalfa,1,17817.371,17817.371,,1
408,fallow,5,53924.758,53924.758,,1
408,grain,7,36078.047,36078.047,4116.0518,2
408,other,10,10198.209,10198.209,7138.4219,2
408,tomato,13,28615.383,28615.383,,1
409,alfalfa,1,24993.752,24993.752,,1
409,fallow,5,17859.33,17859.33,,1
409,grain,7,24672.111,24672.111,14479.766,2
409,orchard,9,21305.145,21305.145,5080.2017,2
409,pasture,11,6492.6304,6492.6304,,1
410,alfalfa,1,15970.438,17005.982,2617.3923,3
410,fallow,5,13157.235,13157.235,,1
410,orchard,9,25917.51,25382.941,6937.8232,6
410,tomato,13,11789.267,11789.267,,1
411,alfalfa,1,8823.2988,8823.2988,5576.7456,2
411,grain,7,12431.799,12431.799,13850.069,2
411,orchard,9,146904.91,146904.91,162541.39,2
411,tomato,13,20034.012,20034.012,5683.248,2
413,alfalfa,1,15836.306,15836.306,,1
413,developed,4,7940.7354,7940.7354,8310.9629,2
413,grain,7,4797.2529,1954.7563,5576.6885,3
413,orchard,9,30002.178,30002.178,21747.652,2
413,tomato,13,39791.813,34348.059,24044.508,4
413,vineyard,15,71913.086,71913.086,,1
414,grain,7,11222.461,11222.461,,1
415,alfalfa,1,56013.324,56013.324,,1
415,fallow,5,79569.164,79569.164,33312.984,2
415,grain,7,34283.414,34283.414,,1
418,alfalfa,1,49907.68,49907.68,,1
418,pasture,11,44912.824,44912.824,15823.177,2
419,orchard,9,9015.1963,9015.1963,,1
419,pasture,11,13965.282,9846.1074,12914.192,6
420,alfalfa,1,2929.6353,2929.6353,,1
420,pasture,11,25031.086,9759.4775,28818.732,5
420,truck crops,14,1602.1873,1602.1873,,1
420,vineyard,15,16477.576,16477.576,,1
421,pasture,11,14376.361,11248.085,12743.128,9
422,alfalfa,1,6930.3623,6930.3623,,1
422,orchard,9,24554.73,24554.73,,1
422,pasture,11,26801.986,30368.51,14672.437,3
423,developed,4,47653.156,47653.156,12642.32,2
423,fallow,5,130518.86,130518.86,170417.19,2
423,orchard,9,34906.051,26667.08,22455.463,6
423,pasture,11,15658.62,14529.449,2049.0972,3
424,orchard,9,22163.508,17947.27,14218.214,6
424,pasture,11,56869.418,56869.418,55898.508,2
425,alfalfa,1,11392.109,11392.109,544.25055,2
425,grain,7,19556.6,20320.316,8518.6348,4
425,orchard,9,28925.434,35775.801,28901.705,5
426,alfalfa,1,11338.734,11338.734,,1
426,fallow,5,18107.018,18107.018,,1
426,grain,7,13120.296,11831.038,8415.1895,5
426,orchard,9,57904.547,24121.596,62567.93,7
426,tomato,13,21619.6,21619.6,16876.1,2
426,vineyard,15,21601.033,21601.033,,1
427,alfalfa,1,16828.643,16067.434,7819.8999,5
427,grain,7,9588.8984,8946.21,1564.9323,3
427,orchard,9,11337.127,11337.127,8230.7598,2
427,tomato,13,14840.476,14840.476,,1
428,alfalfa,1,14344.901,14344.901,2436.0283,2
428,grain,7,9647.1211,9647.1211,7195.333,2
429,alfalfa,1,8634.7949,8634.7949,,1
429,grain,7,8363.8379,8363.8379,,1
430,developed,4,11261.338,11261.338,,1
430,fallow,5,28612.623,20250.697,28565.508,4
430,grain,7,22633.16,22633.16,,1
433,pasture,11,16606.52,16217.352,9184.5615,4
434,alfalfa,1,59504.926,59504.926,,1
434,fallow,5,74994.969,74994.969,,1
434,orchard,9,9015.1963,9015.1963,,1
434,pasture,11,49830.203,48506.039,27526.844,4
434,vineyard,15,10390.99,10390.99,9571.3174,2
434,wetland,16,19493.318,19493.318,,1
435,alfalfa,1,40333.051,40333.051,,1
436,grain,7,17357.396,17357.396,9845.6357,2
436,pasture,11,17445.234,9490.4063,18615.053,13
436,truck crops,14,14978.064,14978.064,,1
437,pasture,11,2925.1707,2573.2007,2907.1953,6
438,pasture,11,1893.1626,1767.7461,973.60913,4
439,forest,6,21214.979,21214.979,,1
439,pasture,11,13373.866,9321.2656,12368.519,4
440,grain,7,2528.7756,2528.7756,,1
440,pasture,11,16534.139,16721.75,5930.481,8
440,vineyard,15,8398.6484,8398.6484,,1
441,alfalfa,1,13880.537,7507.1538,11844.22,6
441,fallow,5,86057.469,86057.469,,1
441,grain,7,36529.18,31001.455,27210.637,3
441,orchard,9,24125.564,24125.564,2498.291,2
441,pasture,11,94.45507,94.45507,,1
442,alfalfa,1,23062.082,15036.518,27784.988,5
442,grain,7,31200.078,23665.434,21245.582,6
442,orchard,9,13961.028,13577.621,14797.944,5
442,tomato,13,13073.797,13073.797,6627.0635,2
443,alfalfa,1,16503.506,15130.727,11122.428,6
443,grain,7,639.31567,639.31567,,1
443,truck crops,14,4174.3774,4174.3774,,1
444,alfalfa,1,23438.559,23438.559,,1
445,alfalfa,1,16067.434,16067.434,,1
446,fallow,5,208.33333,208.33333,,1
447,alfalfa,1,7982.3774,8197.5234,1122.2524,3
447,grain,7,6513.2188,6513.2188,,1
448,alfalfa,1,9026.1641,9026.1641,1868.2853,2
449,alfalfa,1,33545.363,33545.363,,1
449,fallow,5,19687.564,19687.564,,1
449,grain,7,22769.469,22769.469,6684.4556,2
449,other,10,9769.4971,9769.4971,2388.7349,2
449,vineyard,15,28280.123,28280.123,,1
452,alfalfa,1,14051.394,17254.744,8869.2031,4
452,grain,7,11386.539,11386.539,3426.781,2
452,pasture,11,12613.852,12613.852,,1
453,alfalfa,1,25753.852,25753.852,31066.604,2
453,grain,7,4294.9111,4294.9111,,1
453,pasture,11,16862.588,14933.766,11035.681,4
454,alfalfa,1,13460.153,13460.153,,1
454,fallow,5,9362.4111,9362.4111,,1
454,pasture,11,13162.984,13162.984,8011.2212,2
455,alfalfa,1,17869.291,17869.291,,1
455,pasture,11,25777.078,7428.957,52792.48,8
455,vineyard,15,21592.344,21592.344,,1
456,pasture,11,12155.419,12624.301,8127.8862,6
456,vineyard,15,21100.307,21100.307,,1
457,pasture,11,1114.0198,1114.0198,242.49866,2
458,native vegetation,8,22593.652,22593.652,,1
458,pasture,11,7457.8135,6340.6597,5933.439,9
461,pasture,11,906.98926,906.98926,,1
462,pasture,11,41727.656,12272.207,66014.57,4
463,alfalfa,1,14709.55,12927.978,7594.4331,10
463,fallow,5,327388.22,327388.22,,1
463,grain,7,11913.333,10335.539,6688.3682,4
463,orchard,9,24945.742,25892.123,2266.8938,3
463,pasture,11,1029.7305,1029.7305,,1
464,alfalfa,1,23240.547,11559.479,24299.088,3
464,grain,7,712429.94,712429.94,981402.44,2
464,orchard,9,24945.742,25892.123,2266.8938,3
464,truck crops,14,2453.123,2453.123,1477.958,2
465,alfalfa,1,4903.0762,4903.0762,,1
465,pasture,11,8180.7559,8180.7559,,1
465,truck crops,14,4149.0044,4149.0044,303.27975,2
466,alfalfa,1,2610.9895,2610.9895,3458.6509,2
466,pasture,11,2558.1433,2558.1433,,1
466,truck crops,14,6295.9961,6295.9961,,1
467,fallow,5,4152.4429,4152.4429,3911.5132,2
467,grain,7,3125.0112,3125.0112,2741.7507,2
467,pasture,11,1477.4628,1477.4628,532.78528,2
467,truck crops,14,5750.3496,6072.3618,668.42322,3
468,alfalfa,1,9656.042,8197.5234,3945.5159,9
468,fallow,5,4501.0776,4501.0776,,1
468,grain,7,12080.8,13283.621,3561.9448,4
469,alfalfa,1,3746.4551,548.7774,4682.0498,7
469,grain,7,12107.896,12669.005,2750.6763,3
469,vineyard,15,14937.541,14937.541,3079.4314,2
470,alfalfa,1,15091.934,15091.934,,1
470,developed,4,543630.69,543630.69,,1
470,grain,7,284734.13,284734.13,,1
470,orchard,9,14032.118,14032.118,,1
470,pasture,11,40820.785,40820.785,,1
470,vineyard,15,17115.027,17115.027,,1
471,alfalfa,1,17020.582,16604.352,6722.2524,6
471,grain,7,7928.166,8634.6035,2723.1609,4
471,pasture,11,16221.272,16221.272,,1
472,alfalfa,1,18211.984,18211.984,,1
472,vineyard,15,35923.68,35923.68,37339.824,2
473,alfalfa,1,9453.2344,9453.2344,3840.1533,2
473,pasture,11,7556.4429,7556.4429,3619.1763,2
474,alfalfa,1,12667.24,10554.084,7479.1797,8
474,fallow,5,14019.912,14019.912,6801.0254,2
474,grain,7,12704.711,11334.08,11166.458,4
474,pasture,11,26965.781,38373.246,17455.662,5
474,truck crops,14,63542.242,63542.242,,1
475,alfalfa,1,11017.95,9941.8467,4876.8975,4
475,grain,7,20139.875,20139.875,,1
475,pasture,11,20358.504,16576.865,15069.783,5
475,truck crops,14,8951.1787,8951.1787,,1
475,vineyard,15,18128.957,15472.98,9459.9814,3
476,alfalfa,1,7733.4854,7733.4854,,1
476,grain,7,9149.293,9149.293,,1
476,pasture,11,12561.403,7778.2256,13708.509,7
476,vineyard,15,24277.215,24277.215,,1
477,pasture,11,2782.7622,2782.7622,3709.7571,2
478,pasture,11,22368.09,22368.09,,1
479,pasture,11,20812.662,2572.7761,37085.84,7
480,pasture,11,1610530.4,45570.637,2747008,3
481,grain,7,11051.739,11051.739,,1
482,alfalfa,1,6597.5166,5519.3145,3342.6084,4
482,grain,7,10754.321,10754.321,420.61252,2
482,pasture,11,8670.3496,8379.8887,4334.0576,3
482,truck crops,14,13252.679,13252.679,,1
483,alfalfa,1,4931.4546,4931.4546,,1
483,grain,7,4321.6792,4321.6792,,1
483,pasture,11,2722.9443,2722.9443,1289.5255,2
